Country,Political Side,Distance
Chile,Left,-0.22311735154766538
Chile,Left,-0.24248401740873998
Chile,Left,0.037323903816590925
Chile,Left,-0.289089230934421
Chile,Left,-0.08394233863637286
Chile,Left,-0.23290940356863515
Chile,Left,-0.24887110458342274
Chile,Left,-0.08642493837818023
Chile,Left,0.022934204920555507
Chile,Left,-0.3117317524881381
Chile,Left,-0.1807005954560816
Chile,Left,0.0862985950731826
Chile,Left,-0.211079580451824
Chile,Left,-0.260562096181504
Chile,Left,-0.2364254955035601
Chile,Left,-0.25322268459896835
Chile,Left,-0.13454045515925833
Chile,Left,0.21164414234709408
Chile,Left,0.057916532060670725
Chile,Left,0.057916532060670725
Chile,Left,-0.19106466008297732
Chile,Left,-0.1092958810265557
Chile,Left,-0.17938159528185918
Chile,Left,0.35063700870604947
Chile,Left,-0.10354565152389926
Chile,Left,-0.14332458440081172
Chile,Left,0.09685093951251553
Chile,Left,-0.17777741746567027
Chile,Left,-0.3367311933643815
Chile,Left,0.04740894017373474
Chile,Left,-0.1632353983510312
Chile,Left,0.3058246043486727
Chile,Left,0.12333897375844198
Chile,Left,0.060412403411729945
Chile,Left,-0.039515463299565595
Chile,Left,-0.16704967558480274
Chile,Left,-0.07451196484857252
Chile,Left,-0.3095461026097155
Chile,Left,-0.25722406169287587
Chile,Left,-0.24419243821035275
Chile,Left,-0.3083816628440997
Chile,Left,-0.0008944680580384912
Chile,Left,-0.0008944680580384912
Chile,Left,-0.2002359949386972
Chile,Left,-0.2847114689105373
Chile,Left,-0.2797577339572416
Chile,Left,-0.10508102482807338
Chile,Left,-0.2017827422440965
Chile,Left,-0.12922328879799957
Chile,Left,-0.25338090178863226
Chile,Left,-0.2265360052766059
Chile,Left,-0.2481095206986343
Chile,Left,-0.2909261378720061
Chile,Left,-0.29769501416696037
Chile,Left,-0.2547153189045139
Chile,Left,-0.2547153189045139
Chile,Left,0.4183692636519198
Chile,Left,-0.13792891699612056
Chile,Left,-0.33868657352086445
Chile,Left,-0.33868657352086445
Chile,Left,-0.14106954461594104
Chile,Left,0.01722329921989495
Chile,Left,-0.27859513411645065
Chile,Left,-0.27859513411645065
Chile,Left,-0.26644116399055634
Chile,Left,-0.1405943743749988
Chile,Left,0.09230165221372537
Chile,Left,-0.3095537863786887
Chile,Left,-0.23189122564374898
Chile,Left,-0.10556104703338498
Chile,Left,0.08225480793179488
Chile,Left,-0.17928477840546184
Chile,Left,0.06871928353252964
Chile,Left,-0.251499197976132
Chile,Left,-0.24358865622163417
Chile,Left,0.2557339704653217
Chile,Left,-0.23032738175042713
Chile,Left,-0.25119457237470877
Chile,Left,-0.11620913928943004
Chile,Left,-0.1972126676673362
Chile,Left,-0.20057980917384322
Chile,Left,-0.08452465388492221
Chile,Left,-0.32737322358836574
Chile,Left,-0.21056185003902858
Chile,Left,-0.26903127476838734
Chile,Left,-0.14387941229524676
Chile,Left,-0.2728140248533272
Chile,Left,-0.22576982580046318
Chile,Left,0.0572313526860777
Chile,Left,0.11827083903554025
Chile,Left,-0.3518154353253885
Chile,Left,-0.21846074894726972
Chile,Left,-0.28373983628117605
Chile,Left,-0.26362717940490926
Chile,Left,-0.16215253862151194
Chile,Left,-0.22255847834379625
Chile,Left,-0.253259755895992
Chile,Left,-0.01040660369056117
Chile,Left,-0.3471595530848698
Chile,Left,-0.3068371531787219
Chile,Left,-0.217813199401731
Chile,Left,-0.07964864993332504
Chile,Left,0.0952758400389647
Chile,Left,0.20017912282191944
Chile,Left,-0.05149277904921128
Chile,Left,-0.24692442630255587
Chile,Left,-0.10731573950411666
