uuid,z1,z2
007c1299-ed9c-4128-8c64-2fc6244fba85,0.4041038,0.4745393
007dfed9-5c69-4e1b-9f31-60c2de7abe6e,0.8653876,0.5109602
007eefe8-0d32-429b-ab7a-2563b6d2c3aa,0.47264066,0.6050139
0081e98b-daa0-45a5-9d7b-ef1d26777b9a,0.8066395,0.4763968
0082d4fd-7ef2-405b-bca4-538a21da6187,0.8413913,0.5050311
008446b6-5512-4b20-b7ed-b74b367d8688,0.71580774,0.5709058
0085ac2d-1c9f-4b51-883d-e609eafd27ef,0.8265173,0.60810643
00893490-9eda-4d98-99a6-1d06424bdb24,0.8196815,0.42416072
0089d94d-e88f-4611-9be4-82cd38ba31cf,0.9541925,0.4024918
008a57a5-ffc9-4037-be61-336714633e4b,0.61447376,0.6771813
008b1a9f-a189-4639-99de-53a0d5ba241a,0.5176268,0.59339774
008b57cd-9252-4ea5-a4fe-d0e268ac4a7d,0.9211396,0.27242607
008cf883-2d1e-4226-b222-80c6825354b4,0.25071555,0.11151463
008f5b17-e130-4d32-8e1b-a6b8423de4ae,0.12329149,0.53168494
00943bc9-c387-491c-8f03-6bd437320aae,0.8949336,0.3660461
00950f00-d46f-4cb8-8a70-2deea6f22c11,0.76365083,0.37702206
0096f7f1-7784-4937-ae8d-e6c465a8ac4d,0.68213886,0.6239825
009785c5-0be4-4f90-85b1-ff2cbed78f5a,0.73220885,0.16105667
009e7868-0f78-448c-8434-08be5c208b46,0.36665875,0.117960095
009ffe14-7e38-49a5-ad8a-4adb69e870ee,0.5721827,0.2920705
00a02c80-1741-47c1-9de4-5f61e92eb027,0.91844517,0.45830375
00a1af2f-585c-4d67-8bee-6960d5f080db,0.8399445,0.51878256
00a22be5-7cda-4981-8b6b-6f98ac45d24b,0.74115896,0.39420566
00a27931-e933-4c6b-ae49-48c59666f872,0.741487,0.13682084
00a2f66e-4bc8-43b6-b396-0277ae3a69c7,0.84154165,0.5878121
00a32bd9-fb59-4379-9d2b-3decbd90b054,0.711219,0.58069533
00a41fb7-03fc-4acb-8a1d-613bc0ada3f0,0.74317056,0.40399176
00a4a3a3-97a8-41f7-878d-894023fa2609,0.5841524,0.1505727
00a4aa59-8dda-4232-b855-5b1a73b81eb9,0.56619865,0.26116437
00a4e7ac-f1b0-4901-9453-44348862a133,0.93028873,0.8485761
00a56014-d078-4cbd-bd5e-dbae88d7f72b,0.6169982,0.69272316
00a6ffa8-d569-426a-8c07-7a88da69c69d,0.8850309,0.57229984
00ace436-bdcb-4e54-8241-e5c7f878ac61,0.80989736,0.4940765
00ade7eb-5b2b-4d64-8259-5e638531b508,0.6635666,0.24143745
00b220d3-e3ab-4ab9-b4ef-f792f3bb6c26,0.7279539,0.46508554
00b29da4-2843-4ddb-9620-fc235bbb7640,0.6423236,0.5036503
00b2ad71-54f2-4896-b3fc-bad40a08fe6b,0.8530084,0.48712164
00b35a4e-854f-4058-93ab-d153a0bc3476,0.86569726,0.23707901
00b3efc9-775b-45bf-ab26-e30d3af86efe,0.16428484,0.27097765
00b40345-b07b-46f3-9ca9-99cb42ef428a,0.568963,0.39745256
00b4c66a-507e-4e9e-8f39-04f9ab474be6,0.6578611,0.6556114
00b6f684-98c0-49ef-807d-1fb230dcd072,0.68104625,0.13583319
00b82471-4736-4ec8-9168-0492d8c29702,0.9002399,0.70161647
00b8e3bd-e363-4c35-9f2b-77d58b9638d8,0.8237083,0.24165714
00b994c0-177e-4115-a9d7-b0769205059f,0.9245571,0.4524783
00ba9608-0e75-45a7-9882-3de2ac002474,0.655395,0.5566126
00bb6efc-cc98-439a-b7d2-995d03207527,0.84640115,0.18795751
